timestamp,logNumber,tooLargeSamples,droppedSamples,queuedSamples,buffersFilled,buffersWritten,writesFailed,lastWriteError,averageWriteTime,maxWriteTime
518032204,9,0,7250,16,0,0,0,-1,0,0
519032212,9,0,7250,652,1,0,0,-1,0,0
520032216,9,0,7250,1288,2,2,0,-1,74,74
521032220,9,0,7250,1924,3,3,0,-1,83,83
522032228,9,0,7250,2560,4,4,0,-1,84,84
523032232,9,0,7250,3196,5,5,0,-1,86,86
524032244,9,0,7250,3832,6,6,0,-1,86,86
525032244,9,0,7250,4468,7,7,0,-1,85,86
526032252,9,0,7250,5104,8,8,0,-1,84,86
527032256,9,0,7250,5740,9,9,0,-1,87,87
528032264,9,0,7250,6376,10,10,0,-1,87,87
529032268,9,0,7250,7012,11,11,0,-1,85,87
530032276,9,0,7250,7648,12,12,0,-1,81,87
531032280,9,0,7250,8284,13,13,0,-1,86,87
532032292,9,0,7250,8920,14,14,0,-1,87,87
533032292,9,0,7250,9556,15,15,0,-1,78,87
534032300,9,0,7250,10192,16,16,0,-1,78,87
535032304,9,0,7250,10828,17,17,0,-1,77,87
536032312,9,0,7250,11464,18,18,0,-1,76,87
537032316,9,0,7250,12092,19,19,0,-1,80,87
538032324,9,0,7250,12718,20,20,0,-1,77,87
539032328,9,0,7250,13344,21,21,0,-1,79,87
540033572,9,0,7250,13971,22,22,0,-1,75,87
541033584,9,0,7250,14597,23,23,0,-1,75,87
542033584,9,0,7250,15223,24,24,0,-1,74,87
543033756,9,0,7250,15849,25,25,0,-1,73,87
544033604,9,0,7250,16480,26,26,0,-1,77,87
545033612,9,0,7250,17116,27,27,0,-1,81,87
546033612,9,0,7250,17752,28,28,0,-1,80,87
547033616,9,0,7250,18388,29,29,0,-1,78,87
548033620,9,0,7250,19024,30,30,0,-1,78,87
549033632,9,0,7250,19660,31,31,0,-1,79,87
550033648,9,0,7250,20296,33,32,0,-1,82,87
551033660,9,0,7250,20932,34,33,0,-1,80,87
552033648,9,0,7250,21568,35,35,0,-1,77,87
553033648,9,0,7250,22204,36,36,0,-1,82,87
554033660,9,0,7250,22840,37,37,0,-1,84,87
555033672,9,0,7250,23476,38,38,0,-1,81,87
556033668,9,0,7250,24112,39,39,0,-1,82,87
557033680,9,0,7250,24748,40,40,0,-1,80,87
558033688,9,0,7250,25384,41,41,0,-1,88,88
559033688,9,0,7250,26020,42,42,0,-1,86,88
560033692,9,0,7250,26656,43,43,0,-1,87,88
561033700,9,0,7250,27292,44,44,0,-1,80,88
562033708,9,0,7250,27928,45,45,0,-1,82,88
563033712,9,0,7250,28564,46,46,0,-1,86,88
564033724,9,0,7250,29200,47,47,0,-1,85,88
565033724,9,0,7250,29836,48,48,0,-1,113,113
566033728,9,0,7250,30472,49,49,0,-1,80,113
567033736,9,0,7250,31108,50,50,0,-1,78,113
568033744,9,0,7250,31744,51,51,0,-1,73,113
569033748,9,0,7250,32380,52,52,0,-1,72,113
570033756,9,0,7250,33016,53,53,0,-1,79,113
571033760,9,0,7250,33652,54,54,0,-1,75,113
572033772,9,0,7250,34288,55,55,0,-1,76,113
573033772,9,0,7250,34924,56,56,0,-1,81,113
574033932,9,0,7250,35560,57,57,0,-1,74,113
575033784,9,0,7250,36196,58,58,0,-1,81,113
576033792,9,0,7250,36832,59,59,0,-1,90,113
577033796,9,0,7250,37468,60,60,0,-1,84,113
578033804,9,0,7250,38104,61,61,0,-1,79,113
579033808,9,0,7250,38740,62,62,0,-1,83,113
580033828,9,0,7250,39376,64,63,0,-1,85,113
581033832,9,0,7250,40012,65,64,0,-1,79,113
582033824,9,0,7250,40648,66,66,0,-1,86,113
583033828,9,0,7250,41284,67,67,0,-1,85,113
584033840,9,0,7250,41920,68,68,0,-1,81,113
585033848,9,0,7250,42556,69,69,0,-1,88,113
586033848,9,0,7250,43192,70,70,0,-1,79,113
587033860,9,0,7250,43828,71,71,0,-1,74,113
588033868,9,0,7250,44464,72,72,0,-1,77,113
589033872,9,0,7250,45100,73,73,0,-1,81,113
590033872,9,0,7250,45736,74,74,0,-1,81,113
591033876,9,0,7250,46372,75,75,0,-1,87,113
592033884,9,0,7250,47008,76,76,0,-1,82,113
593033892,9,0,7250,47644,77,77,0,-1,79,113
594033896,9,0,7250,48280,78,78,0,-1,81,113
595033904,9,0,7250,48916,79,79,0,-1,73,113
596033908,9,0,7250,49552,80,80,0,-1,72,113
597033912,9,0,7250,50188,81,81,0,-1,74,113
598033924,9,0,7250,50824,82,82,0,-1,76,113
599033924,9,0,7250,51460,83,83,0,-1,71,113
600033932,9,0,7250,52096,84,84,0,-1,76,113
601033936,9,0,7250,52732,85,85,0,-1,70,113
602033944,9,0,7250,53368,86,86,0,-1,75,113
603033960,9,0,7250,54004,87,87,0,-1,76,113
604033968,9,0,7250,54640,88,88,0,-1,71,113
605034140,9,0,7250,55276,89,89,0,-1,70,113
606033968,9,0,7250,55912,90,90,0,-1,76,113
607033972,9,0,7250,56548,91,91,0,-1,69,113
608033976,9,0,7250,57184,92,92,0,-1,75,113
609033984,9,0,7250,57820,93,93,0,-1,78,113
610034028,9,0,7250,58456,95,94,0,-1,80,113
611033996,9,0,7250,59092,96,95,0,-1,82,113
612034004,9,0,7250,59728,97,97,0,-1,78,113
613034012,9,0,7250,60364,98,98,0,-1,79,113
614034016,9,0,7250,61000,99,99,0,-1,81,113
615034032,9,0,7250,61636,100,100,0,-1,79,113
616034024,9,0,7250,62272,101,101,0,-1,81,113
617034032,9,0,7250,62908,102,102,0,-1,79,113
618034048,9,0,7250,63544,103,103,0,-1,85,113
619034044,9,0,7250,64180,104,104,0,-1,83,113
620034048,9,0,7250,64816,105,105,0,-1,87,113
621034056,9,0,7250,65452,106,106,0,-1,86,113
622034060,9,0,7250,66088,107,107,0,-1,81,113
623034068,9,0,7250,66724,108,108,0,-1,87,113
624034080,9,0,7250,67360,109,109,0,-1,84,113
625034088,9,0,7250,67996,110,110,0,-1,85,113
626034088,9,0,7250,68632,111,111,0,-1,86,113
627034100,9,0,7250,69268,112,112,0,-1,108,113
628034108,9,0,7250,69904,113,113,0,-1,78,113
629034104,9,0,7250,70540,114,114,0,-1,76,113
630034112,9,0,7250,71176,115,115,0,-1,77,113
631034116,9,0,7250,71812,116,116,0,-1,74,113
632034124,9,0,7250,72448,117,117,0,-1,72,113
633034132,9,0,7250,73084,118,118,0,-1,75,113
634034132,9,0,7250,73720,119,119,0,-1,71,113
634434500,9,0,7250,73984,120,120,0,-1,75,113
